,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Upernavik,32,GL,1555108788,100,72.79,-56.15,13.77,23.73
1,Lavrentiya,0,RU,1555108788,100,65.58,-170.99,23.05,7.74
2,Ushuaia,40,AR,1555106400,81,-54.81,-68.31,46.4,4.7
3,Sitka,44,US,1555108788,32,37.17,-99.65,57.16,5.39
4,Ponta do Sol,32,BR,1555108788,81,-20.63,-46.0,69.85,1.92
5,Lucapa,64,AO,1555108789,93,-8.42,20.74,68.85,2.59
6,Busselton,0,AU,1555108571,48,-33.64,115.35,62.01,19.93
7,Airai,20,TL,1555108789,93,-8.93,125.41,73.81,2.37
8,Atuona,80,PF,1555108789,100,-9.8,-139.03,82.54,7.4
9,Zambezi,76,ZM,1555108790,95,-13.55,23.12,65.52,7.4
10,Saint-Philippe,90,CA,1555108768,66,45.36,-73.48,60.8,8.05
11,Thompson,20,CA,1555106400,16,55.74,-97.86,44.6,5.82
12,Vardo,90,US,1555108784,93,39.62,-77.74,64.4,8.05
13,Slobodskoy,0,RU,1555108790,75,58.73,50.18,20.8,5.39
14,Bluff,0,AU,1555108790,53,-23.58,149.07,74.97,13.78
15,Tibati,64,CM,1555108791,96,6.47,12.63,65.97,7.18
16,Punta Arenas,75,CL,1555108346,70,-53.16,-70.91,42.8,57.49
17,Nelson Bay,90,AU,1555106400,100,-32.72,152.14,59.0,9.17
18,Luderitz,24,NA,1555106400,100,-26.65,15.16,57.2,5.82
19,Bichura,76,RU,1555108791,51,50.59,107.6,25.11,4.38
20,Ust-Kuyga,76,RU,1555108792,88,70.0,135.55,25.3,4.05
21,Albany,90,US,1555108625,62,42.65,-73.75,60.01,8.05
22,Amazar,12,RU,1555108792,43,53.86,120.88,24.49,4.61
23,Fernley,40,US,1555108787,24,39.61,-119.25,57.99,6.93
24,Logan Lake,75,CA,1555106400,32,50.49,-120.81,57.2,11.41
25,Vaini,0,IN,1555108792,88,15.34,74.49,67.06,2.48
26,Kysyl-Syr,0,RU,1555108793,58,63.9,122.77,15.12,5.39
27,Bethel,75,US,1555106640,61,60.79,-161.76,46.4,4.7
28,Faanui,48,PF,1555108794,100,-16.48,-151.75,80.37,3.6
29,Rikitea,92,PF,1555108794,100,-23.12,-134.97,75.6,20.04
30,Thiruvananthapuram,20,IN,1555106400,79,8.48,76.92,84.2,5.82
31,Burgersdorp,12,ZA,1555108794,78,-30.99,26.32,45.81,2.59
32,Saskylakh,80,RU,1555108794,78,71.97,114.09,-1.08,6.06
33,Sterling,90,US,1555108781,93,39.0,-77.4,66.2,8.05
34,Hobart,75,AU,1555108695,82,-42.88,147.33,55.99,5.82
35,Kapaa,40,US,1555108708,61,22.08,-159.32,80.6,21.92
36,Constitucion,5,MX,1555108216,4,23.99,-104.67,75.2,34.45
37,Hilo,75,US,1555108527,57,19.71,-155.08,78.8,14.0
38,Petrov Val,80,RU,1555108795,73,50.14,45.21,50.58,5.28
39,Hermanus,88,ZA,1555108306,98,-34.42,19.24,64.0,3.04
40,Dikson,24,RU,1555108796,100,73.51,80.55,2.61,15.79
41,Aklavik,90,CA,1555106400,78,68.22,-135.01,15.8,14.99
42,Ayutla,0,MX,1555108796,20,20.13,-104.35,76.6,7.29
43,Lasa,0,CY,1555108292,82,34.92,32.53,59.0,4.7
44,Tautira,20,PF,1555108342,59,-17.73,-149.15,89.6,10.29
45,Port Elizabeth,90,US,1555108772,82,39.31,-74.98,69.01,8.05
46,Dong Hoi,88,VN,1555108797,95,17.48,106.6,80.29,4.61
47,Ribeira Grande,92,PT,1555108797,100,38.52,-28.7,58.5,22.84
48,Carnarvon,0,ZA,1555108797,62,-30.97,22.13,53.65,4.05
49,Lompoc,1,US,1555108738,59,34.64,-120.46,73.99,16.11
50,Pauini,20,BR,1555108797,85,-7.71,-67.0,80.65,2.37
51,Erzin,20,TR,1555107600,100,36.95,36.2,57.2,2.24
52,Sao Joao da Barra,0,BR,1555106400,78,-21.64,-41.05,77.0,5.82
53,Mataura,0,NZ,1555108208,80,-46.19,168.86,48.99,1.99
54,Khatanga,12,RU,1555108798,60,71.98,102.47,-7.02,5.61
55,Mar del Plata,0,AR,1555108798,50,-46.43,-67.52,59.76,30.11
56,Goderich,0,CA,1555108655,38,43.74,-81.71,57.99,5.01
57,Mezen,44,RU,1555108798,82,65.85,44.24,23.95,5.39
58,Barrow,0,AR,1555108799,52,-38.31,-60.23,61.47,15.23
59,Jamestown,76,AU,1555108799,38,-33.21,138.6,61.2,4.61
60,Pacific Grove,1,US,1555108737,59,36.62,-121.92,72.0,11.41
61,Gannan,0,CN,1555108799,54,47.92,123.49,40.32,15.01
